,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,212.0,271.0,238.0,280.0,367.0,540.0,505.0,573.0,610.0,869.0,666.0,812.0
Expenses,234.0,339.0,356.0,491.0,685.0,795.0,740.0,800.0,744.0,937.0,743.0,901.0
Operating Profit,-22.0,-69.0,-118.0,-212.0,-317.0,-255.0,-235.0,-226.0,-133.0,-68.0,-77.0,-89.0
OPM %,-10.0,-25.0,-50.0,-76.0,-86.0,-47.0,-46.0,-39.0,-22.0,-8.0,-12.0,-11.0
Other Income,18.0,19.0,20.0,21.0,34.0,51.0,47.0,61.0,69.0,82.0,91.0,97.0
Interest,3.0,3.0,3.0,3.0,3.0,4.0,4.0,6.0,6.0,6.0,6.0,7.0
Depreciation,12.0,10.0,10.0,10.0,11.0,12.0,13.0,16.0,18.0,17.0,20.0,22.0
Profit before tax,-18.0,-62.0,-111.0,-204.0,-298.0,-220.0,-204.0,-187.0,-88.0,-9.0,-12.0,-21.0
Tax %,-9.0,-4.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-3.0,1.0
Net Profit,-20.0,-64.0,-111.0,-204.0,-298.0,-220.0,-204.0,-187.0,-88.0,-9.0,-12.0,-21.0
EPS in Rs,-858.46,-2821.65,-2.7,-4.97,-6.63,-4.89,-4.55,-4.15,-1.94,-0.2,-0.25,-0.45
