,2015-03-01,2016-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,0,0,0,0,90,90,90.0
Reserves,97,301,787,489,1265,1990,5322,5386,5556.0
Preference Capital,0,1,1,1,1,1,0,0,
Borrowings,0,0,0,89,108,109,159,227,263.0
Other Liabilities,29,44,93,173,203,231,344,551,518.0
Total Liabilities,126,345,880,751,1576,2331,5915,6254,6427.0
Fixed Assets,4,6,11,119,147,125,205,313,370.0
CWIP,0,0,0,0,0,0,0,0,0.0
Investments,19,237,650,125,2,138,373,622,252.0
Other Assets,103,102,219,507,1427,2068,5338,5319,5806.0
Total Assets,126,345,880,751,1576,2331,5915,6254,6427.0
