,Mar 2015,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,78.0,90.0,334.0,492.0,771.0,887.0,1425.0,2558.0,2956
Expenses,149.0,232.0,386.0,828.0,1091.0,1046.0,2325.0,3219.0,3324
Operating Profit,-72.0,-142.0,-52.0,-336.0,-320.0,-160.0,-901.0,-661.0,-368
OPM %,-92.0,-157.0,-16.0,-68.0,-41.0,-18.0,-63.0,-26.0,-12
Other Income,10.0,35.0,26.0,37.0,84.0,71.0,124.0,259.0,340
Interest,0.0,0.0,0.0,8.0,12.0,12.0,14.0,22.0,25
Depreciation,2.0,3.0,7.0,30.0,47.0,41.0,43.0,64.0,77
Profit before tax,-64.0,-110.0,-34.0,-337.0,-295.0,-142.0,-833.0,-488.0,-130
Tax %,-0.0,0.0,-76.0,-3.0,-3.0,-6.0,0.0,0.0,
Net Profit,-64.0,-110.0,-59.0,-347.0,-304.0,-150.0,-833.0,-488.0,-130
EPS in Rs,-17719.44,-30600.0,-16396.12,-91265.79,-80007.89,-6583.7,-18.53,-10.82,-2.84
