,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Expenses,0.34,-0.04,0.39,0.21,0.26,0.17,1.61,0.16,1.81,0.43,0.48,0.16,0.55
Operating Profit,-0.34,0.04,-0.39,-0.21,-0.26,-0.17,-1.61,-0.16,-1.81,-0.43,-0.48,-0.16,-0.55
OPM %,,,,,,,,,,,,,
Other Income,0.42,0.14,0.27,0.06,0.10,0.07,-37.46,0.05,2.59,1.58,0.26,0.05,2.19
Interest,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18
Depreciation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.01,0.00,0.00
Profit before tax,0.07,0.18,-0.12,-0.15,-0.16,-0.10,-39.07,-0.11,0.76,1.14,-0.23,-0.11,1.46
Tax %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Net Profit,0.07,0.18,-0.13,-0.15,-0.16,-0.10,-39.07,-0.11,0.76,1.14,-0.23,-0.11,1.46
EPS in Rs,0.06,0.14,-0.10,-0.12,-0.13,-0.08,-30.96,-0.09,0.60,0.90,-0.18,-0.09,1.16
