,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.88,1.82,2.89,0.97,1.87,3.81,8.7,7.85,7.05,7.58,8.93,4.21,12.08
Expenses,0.83,1.85,2.62,1.53,1.81,3.1,8.15,8.62,9.51,8.07,4.18,6.21,7.2
Operating Profit,0.05,-0.03,0.27,-0.56,0.06,0.71,0.55,-0.77,-2.46,-0.49,4.75,-2.0,4.88
OPM %,5.68,-1.65,9.34,-57.73,3.21,18.64,6.32,-9.81,-34.89,-6.46,53.19,-47.51,40.4
Other Income,0.00,0.00,0.00,0.00,0.0,0.0,0.16,0.01,0.0,0.01,-0.54,0.15,-0.17
Interest,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.01
Depreciation,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.07,0.12,0.15,0.16,0.16
Profit before tax,0.05,-0.03,0.27,-0.56,0.06,0.71,0.71,-0.76,-2.54,-0.62,4.04,-2.02,4.54
Tax %,0.00,0.00,7.41,0.00,16.67,25.35,5.63,0.0,-0.39,1.61,14.11,1.49,12.56
Net Profit,0.05,-0.03,0.25,-0.56,0.04,0.53,0.67,-0.76,-2.55,-0.61,3.47,-1.99,3.97
EPS in Rs,,,,,0.03,0.46,0.58,-0.66,-2.22,-0.53,3.02,-1.73,2.37
