,2008-03-01,2009-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,939.60,1163.59,5303.79,2864.8,0.43,-0.00,-0.00
Expenses,865.21,1095.58,5027.99,4127.41,3.05,1.25,0.99
Operating Profit,74.39,68.01,275.8,-1262.61,-2.62,-1.25,-0.99
OPM %,7.92,5.84,5.2,-44.07,-609.3,,
Other Income,3.00,5.56,14.01,115.59,1.8,1.10,1.08
Interest,9.77,10.57,83.2,65.28,-0.0,-0.00,-0.00
Depreciation,3.27,5.80,8.83,8.28,7.86,7.86,6.49
Profit before tax,64.35,57.20,197.78,-1220.58,-8.68,-8.01,-6.40
Tax %,32.68,33.44,20.17,0.08,13.13,15.86,12.34
Net Profit,43.32,38.07,157.89,-1219.62,-7.55,-6.73,-5.61
EPS in Rs,,,2.14,-16.57,-0.1,-0.09,-0.08
