,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,46.0,44.0,55.0,54.0,57.0,69.0,72.0,83.0,91.0,110
Expenses,42.0,53.0,56.0,47.0,45.0,47.0,51.0,58.0,73.0,90
Operating Profit,4.0,-10.0,-0.0,7.0,11.0,22.0,21.0,25.0,17.0,20
OPM %,8.0,-22.0,-1.0,13.0,20.0,31.0,30.0,30.0,19.0,19
Other Income,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
Interest,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0
Depreciation,1.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,2
Profit before tax,5.0,-8.0,-3.0,3.0,10.0,21.0,22.0,24.0,17.0,20
Tax %,23.0,1.0,-43.0,115.0,13.0,19.0,18.0,21.0,18.0,
Net Profit,4.0,-8.0,-5.0,-0.0,9.0,17.0,18.0,19.0,14.0,16
EPS in Rs,2.01,-3.86,-2.18,-0.21,3.91,7.75,8.06,8.49,5.86,7.03
