,2021-03-01,2022-03-01,2023-03-01
Sales,7.61,12.63,21.03
Expenses,4.68,9.61,14.07
Operating Profit,2.93,3.02,6.96
OPM %,38.5,23.91,33.1
Other Income,0.08,0.09,0.1
Interest,2.44,2.18,2.63
Depreciation,0.78,0.71,0.88
Profit before tax,-0.21,0.22,3.55
Tax %,23.81,31.82,28.17
Net Profit,-0.17,0.14,2.56
EPS in Rs,-0.76,0.63,11.45
