,2023-09-01
Depreciation,0.35
EPS in Rs,3.4
Expenses,10.48
Interest,1.44
Net Profit,1.52
OPM %,26.46
Operating Profit,3.77
Other Income,0.06
Profit before tax,2.04
Sales,14.25
Tax %,25.49
