,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,29.94,40.09,36.97,30.63,39.65,45.23,49.87,49.2,39.38,72.79,47.2,51.54,49.68
Expenses,34.21,38.93,36.13,34.42,39.32,41.0,40.51,39.91,34.82,43.77,40.05,50.3,45.89
Operating Profit,-4.27,1.16,0.84,-3.79,0.33,4.23,9.36,9.29,4.56,29.02,7.15,1.24,3.79
OPM %,-14.26,2.89,2.27,-12.37,0.83,9.35,18.77,18.88,11.58,39.87,15.15,2.41,7.63
Other Income,77.34,2.31,3.02,2.65,1.09,0.49,0.41,0.32,0.4,0.3,1.14,0.66,1.17
Interest,0.34,0.11,0.32,0.52,1.18,0.7,0.71,2.08,2.53,2.47,3.33,1.97,2.06
Depreciation,1.35,1.57,1.56,2.31,2.37,2.26,2.53,3.47,4.24,4.0,3.77,3.09,3.03
Profit before tax,71.38,1.79,1.98,-3.97,-2.13,1.76,6.53,4.06,-1.81,22.85,1.19,-3.16,-0.13
Tax %,11.71,19.55,25.25,-3.78,-0.47,43.18,3.98,28.08,-100.0,50.11,57.14,-6.33,
Net Profit,63.01,1.44,1.48,-4.11,-2.14,1.0,6.27,2.93,-3.62,11.4,0.5,-3.36,-0.50
EPS in Rs,203.53,4.65,4.78,-13.28,-6.91,3.23,20.25,9.46,-11.69,36.82,1.62,-10.85,-1.61
