,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,0.48,1.4,2.38,6.69,6.69,6.69,6.69,6.69,6.69,12.55
Reserves,0.36,0.39,0.8,1.12,1.46,9.49,4.05,6.85,6.96,6.02,6.05,12.32
Borrowings,1.26,1.33,2.6,4.15,12.24,9.92,8.7,8.29,8.77,7.81,7.56,5.69
Other Liabilities,0.61,0.55,1.32,3.63,7.7,6.36,7.5,5.4,6.39,10.13,8.54,7.02
Total Liabilities,2.24,2.28,5.2,10.3,23.78,32.46,26.94,27.23,28.81,30.65,28.84,37.58
Fixed Assets,0.74,0.6900000000000001,3.07,2.74,8.18,8.17,7.29,6.29,6.97,5.88,4.97,7.64
CWIP,0.02,0.0,0.0,0.24,0.14,0.09,0.18,0.0,0.0,0.0,0.0,0.0
Investments,0.03,0.03,0.03,0.04,0.11,0.11,0.06,0.06,0.06,0.06,0.0,0.0
Other Assets,1.45,1.56,2.1,7.28,15.35,24.09,19.41,20.88,21.78,24.71,23.87,29.94
Total Assets,2.24,2.28,5.2,10.3,23.78,32.46,26.94,27.23,28.81,30.65,28.84,37.58
