,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.54,3.07,5.32,11.73,28.34,42.63,22.29,23.24,18.21,17.92,10.95,15.50
Expenses,2.19,2.79,5.22,10.36,24.98,37.9,25.75,19.37,16.23,17.11,11.89,12.37
Operating Profit,0.35,0.28,0.1,1.37,3.36,4.73,-3.46,3.87,1.98,0.81,-0.94,3.13
OPM %,13.78,9.12,1.88,11.68,11.86,11.1,-15.52,16.65,10.87,4.52,-8.58,20.19
Other Income,0.03,0.02,0.76,0.02,0.38,0.27,0.84,0.48,0.43,0.69,2.87,2.87
Interest,0.15,0.15,0.16,0.5,0.87,1.18,1.33,0.96,0.96,0.92,0.96,0.66
Depreciation,0.12,0.11,0.23,0.41,0.93,1.55,1.47,1.38,1.16,1.11,0.89,1.01
Profit before tax,0.11,0.04,0.47,0.48,1.94,2.27,-5.42,2.01,0.29,-0.53,0.08,4.33
Tax %,36.36,25.0,46.81,33.33,29.9,31.28,-0.37,-39.3,62.07,-77.36,62.5,
Net Profit,0.08,0.03,0.24,0.32,1.36,1.57,-5.44,2.8,0.11,-0.94,0.03,4.27
EPS in Rs,80.0,30.0,5.0,2.29,5.71,2.35,-8.13,4.19,0.16,-1.41,0.04,5.98
