,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-04-01,2023-09-01,2023-12-01
Promoters,60.97,60.97,61.0,61.0,60.23,60.23,60.29,59.36,51.91,33.79,27.6,22.97
Public,39.02,39.03,39.0,39.01,39.78,39.78,39.72,40.64,48.09,66.21,72.4,77.03
No. of Shareholders,394.0,396.0,392.0,289.0,301.0,332.0,341.0,362.0,353.0,365.0,357.0,345.0
