,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,58.28,57.58,57.14,56.57,55.57,55.3,55.28,55.03,55.15,55.0,51.23,50.32
FIIs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Public,41.6,42.29,42.74,43.3,44.31,44.57,44.59,44.85,44.73,44.87,48.65,49.38
Others,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11
No. of Shareholders,18078.0,18266.0,20952.0,27175.0,47363.0,79647.0,81880.0,77401.0,74326.0,70992.0,69758.0,76968.0
