,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.97,4.06,-1.08,-11.82,0.44
Expenses,0.37,3.06,-3.37,-18.76,-10.63
Operating Profit,0.6,1.0,2.29,6.94,11.07
OPM %,61.86,24.63,1431.25,3021.74,2515.91
Other Income,0.0,0.09,0.0,0.01,0.00
Interest,0.03,0.03,2.56,7.04,10.81
Depreciation,0.02,0.01,0.03,0.13,0.17
Profit before tax,0.55,1.05,-0.3,-0.22,0.09
Tax %,34.55,22.86,13.33,4.55,
Net Profit,0.36,0.82,0.17,0.23,0.24
EPS in Rs,0.26,0.6,0.12,0.17,0.17
