,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,674.0,779.0,948.0,829.0,615.0,398.0,447.0,562.0,594
Expenses,557.0,655.0,797.0,688.0,505.0,302.0,342.0,433.0,449
Operating Profit,117.0,124.0,151.0,141.0,110.0,95.0,105.0,130.0,145
OPM %,17.0,16.0,16.0,17.0,18.0,24.0,24.0,23.0,24
Other Income,2.0,7.0,16.0,27.0,15.0,-228.0,13.0,9.0,7
Interest,47.0,44.0,47.0,56.0,46.0,29.0,23.0,24.0,23
Depreciation,33.0,44.0,48.0,47.0,47.0,53.0,49.0,40.0,36
Profit before tax,39.0,43.0,72.0,65.0,32.0,-215.0,46.0,75.0,94
Tax %,14.0,22.0,29.0,35.0,31.0,18.0,24.0,27.0,
Net Profit,33.0,34.0,51.0,42.0,22.0,-175.0,35.0,54.0,67
EPS in Rs,15.03,1.5,2.28,1.85,0.97,-7.8,1.53,2.42,2.97
