,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,23,23,23,23,23,23,23,23,23
Reserves,536,534,594,635,672,497,531,580,613
Borrowings,569,473,428,372,306,279,256,238,183
Other Liabilities,81,127,154,161,131,97,91,116,115
Total Liabilities,1208,1157,1199,1190,1131,895,900,956,934
Fixed Assets,564,547,516,483,522,450,432,464,487
CWIP,24,35,21,23,32,37,35,24,39
Investments,87,85,79,77,70,22,15,0,0
Other Assets,533,489,583,608,506,386,418,467,408
Total Assets,1208,1157,1199,1190,1131,895,900,956,934
