,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,85.0,34,42,68
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,85.0,34,42,68
Working Capital Days,-118.0,-2,32,72
ROCE %,,154,124,33
