,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-20,3,20,-16
Cash from Investing Activity,-4,-1,-10,-24
Cash from Financing Activity,27,-6,-12,59
Net Cash Flow,3,-3,-2,19
