,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,27,28,49,117,76,49,66
Cash from Investing Activity,-27,-5,5,-25,-47,-60,-133
Cash from Financing Activity,-2,-20,-50,-29,-15,150,-3
Net Cash Flow,-2,3,4,62,15,139,-70
