,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,68.24,68.24,68.24,68.24,68.24,68.28,68.3,68.3
FIIs,10.3,7.13,5.99,6.79,6.24,5.66,5.73,5.35
DIIs,7.9,7.73,10.33,8.88,7.89,7.65,7.54,7.17
Public,13.56,16.9,15.44,16.09,17.62,18.43,18.43,19.19
No. of Shareholders,55292.0,82578.0,86853.0,94594.0,96998.0,95605.0,93478.0,92991.0
