,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,81.0,132.0,77.0,150.0,117.0,181.0,101.0,112.0,105.0,142.0,132.0,140.0
Expenses,55.0,65.0,61.0,70.0,79.0,106.0,70.0,84.0,91.0,87.0,88.0,108.0
Operating Profit,26.0,67.0,15.0,80.0,38.0,75.0,31.0,29.0,14.0,55.0,44.0,32.0
OPM %,32.0,51.0,20.0,53.0,33.0,42.0,31.0,25.0,13.0,39.0,34.0,23.0
Other Income,4.0,2.0,2.0,1.0,5.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0
Interest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Depreciation,5.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0
Profit before tax,25.0,66.0,14.0,78.0,40.0,75.0,30.0,27.0,13.0,53.0,43.0,30.0
Tax %,36.0,26.0,45.0,25.0,1.0,39.0,16.0,39.0,25.0,28.0,33.0,20.0
Net Profit,16.0,49.0,8.0,58.0,40.0,46.0,25.0,17.0,10.0,38.0,29.0,24.0
EPS in Rs,2.14,6.63,1.06,7.96,4.93,5.74,3.14,2.09,1.18,4.75,3.54,2.97
