,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,31.78,30.17,32.77,33.59,42.83,44.27
Expenses,30.45,28.31,30.61,28.23,38.9,40.08
Operating Profit,1.33,1.86,2.16,5.36,3.93,4.19
OPM %,4.19,6.17,6.59,15.96,9.18,9.46
Other Income,0.0,0.03,0.09,0.89,1.64,1.94
Interest,0.75,1.16,1.23,2.08,1.42,1.47
Depreciation,0.15,0.24,0.28,0.37,0.43,0.44
Profit before tax,0.43,0.49,0.74,3.8,3.72,4.22
Tax %,27.91,28.57,27.03,26.05,24.46,
Net Profit,0.3,0.36,0.54,2.81,2.81,3.12
EPS in Rs,7.08,8.49,8.74,3.5,2.55,2.84
