,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.42,0.42,0.5,8.02,11.0,11.0
Reserves,4.59,4.95,6.38,3.27,21.27,22.58
Borrowings,8.41,9.33,16.82,15.85,7.18,6.99
Other Liabilities,2.73,9.63,5.31,21.12,9.61,12.64
Total Liabilities,16.15,24.33,29.01,48.26,49.06,53.21
Fixed Assets,2.48,5.05,6.5,7.13,6.8,6.69
CWIP,0.04,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,13.63,19.28,22.51,41.13,42.26,46.52
Total Assets,16.15,24.33,29.01,48.26,49.06,53.21
