,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,38.26,28.98,33.4,35.14
Expenses,32.1,25.5,29.39,30.45
Operating Profit,6.16,3.48,4.01,4.69
OPM %,16.1,12.01,12.01,13.35
Other Income,0.24,2.68,0.63,-0.03
Interest,0.13,0.01,0.01,0.02
Depreciation,0.34,0.53,0.63,0.62
Profit before tax,5.93,5.62,4.0,4.02
Tax %,30.69,17.26,25.25,33.08
Net Profit,4.11,4.64,2.99,2.68
EPS in Rs,2.67,3.02,1.94,1.74
