,2022-09-01,2022-10-01,2023-03-01,2023-09-01
Promoters,99.99,73.49,74.39,74.39
FIIs,0.0,2.22,0.0,0.0
DIIs,0.0,0.76,1.75,1.87
Public,0.01,23.53,23.86,23.74
No. of Shareholders,8.0,1410.0,1135.0,1734.0
