,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,642.0,690.0,841.0,945.0,941
Expenses,577.0,624.0,743.0,832.0,850
Operating Profit,64.0,66.0,98.0,113.0,90
OPM %,10.0,10.0,12.0,12.0,10
Other Income,11.0,5.0,31.0,14.0,15
Interest,45.0,27.0,25.0,35.0,27
Depreciation,16.0,16.0,18.0,20.0,21
Profit before tax,15.0,29.0,86.0,73.0,57
Tax %,19.0,20.0,21.0,28.0,
Net Profit,12.0,23.0,67.0,52.0,43
EPS in Rs,754.25,1345.65,3958.05,9.06,7.12
