,2023-03-01,2023-06-01,2023-09-01
Promoters,70.74,51.24,51.09
FIIs,0.0,12.47,9.23
DIIs,0.0,16.58,16.28
Public,29.26,19.71,23.39
No. of Shareholders,19.0,27612.0,55329.0
