,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,209.75,196.01,244.69,232.69,271.8,235.09,200.99
Expenses,186.16,176.48,216.1,212.49,230.69,218.88,188.38
Operating Profit,23.59,19.53,28.59,20.2,41.11,16.21,12.61
OPM %,11.25,9.96,11.68,8.68,15.13,6.9,6.27
Other Income,3.44,6.64,6.41,1.23,3.76,5.12,4.74
Interest,8.28,7.14,10.01,8.57,9.51,5.6,3.25
Depreciation,4.82,4.56,4.87,5.04,5.19,5.27,5.52
Profit before tax,13.93,14.47,20.12,7.82,30.17,10.46,8.58
Tax %,23.55,35.8,26.54,26.73,24.76,32.41,15.27
Net Profit,10.66,9.3,14.77,5.73,22.71,7.07,7.28
EPS in Rs,667.5,1.66,2.64,1.01,3.92,1.08,1.11
