,2009-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,370,79,177,775,787,259,324,131
Cash from Investing Activity,-1035,1694,-1137,354,-877,-150,-63,49
Cash from Financing Activity,681,-2117,662,-1823,-218,201,-224,-248
Net Cash Flow,16,-343,-298,-693,-308,309,36,-68
