,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,40.52,41.57,43.01,43.01,43.01,43.01,9.32,9.92,0.01
Public,59.48,58.43,56.99,56.99,56.99,56.99,90.68,90.08,99.99
No. of Shareholders,1467.0,1664.0,1582.0,1631.0,3222.0,3222.0,4132.0,29463.0,30101.0
