,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.05,0.05,0.05,0.05,0.05,1.04,1.52,1.52
Reserves,0.0,0.0,0.09,0.02,0.3,0.84,2.74,2.95
Borrowings,0.0,0.0,0.45,0.81,0.0,0.0,0.0,0.5700000000000001
Other Liabilities,0.09,0.09,9.59,13.43,6.02,13.23,12.35,21.2
Total Liabilities,0.14,0.14,10.18,14.31,6.37,15.11,16.61,26.24
Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.08
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,0.14,0.14,10.18,14.31,6.37,15.04,16.53,26.16
Total Assets,0.14,0.14,10.18,14.31,6.37,15.11,16.61,26.24
