,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,56.41,56.34,56.34,56.34,56.34,56.34,56.33,56.33
FIIs,0.0,1.08,1.2,1.66,0.89,0.78,1.65,1.72
DIIs,15.82,19.16,21.58,21.93,21.05,19.63,17.02,15.66
Public,27.77,23.42,20.89,20.07,21.73,23.26,25.0,26.29
No. of Shareholders,8483.0,7635.0,9225.0,8511.0,8978.0,11398.0,14775.0,16570.0
