,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,13.02,13.24,14.61,12.33,15.51,16.75,16.33,13.32,25.8,27.45,26.39,18.81,24.97
Expenses,12.8,12.58,15.67,12.66,14.98,16.99,17.64,13.24,24.76,26.49,26.6,18.68,24.81
Operating Profit,0.22,0.66,-1.06,-0.33,0.53,-0.24,-1.31,0.08,1.04,0.96,-0.21,0.13,0.16
OPM %,1.69,4.98,-7.26,-2.68,3.42,-1.43,-8.02,0.6,4.03,3.5,-0.8,0.69,0.64
Other Income,0.0,0.01,0.27,0.0,2.02,0.35,0.36,0.23,0.26,0.34,0.29,0.23,0.25
Interest,0.03,0.04,0.06,0.03,0.02,0.04,0.06,0.07,0.09,0.12,0.26,0.21,0.23
Depreciation,0.08,0.09,0.09,0.09,0.09,0.09,0.11,0.11,0.13,0.14,0.45,0.34,0.34
Profit before tax,0.11,0.54,-0.94,-0.45,2.44,-0.02,-1.12,0.13,1.08,1.04,-0.63,-0.19,-0.16
Tax %,36.36,53.7,-9.57,-4.44,25.82,-100.0,28.57,23.08,50.0,50.0,-14.29,-68.42,-25.0
Net Profit,0.07,0.26,-1.03,-0.47,1.82,-0.04,-0.8,0.11,0.55,0.51,-0.72,-0.32,-0.2
EPS in Rs,0.04,0.14,-0.55,-0.25,0.97,-0.01,-0.23,0.03,0.16,0.15,-0.21,-0.09,-0.06
