,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2,3,8,8,8
Reserves,1,5,11,14,15
Borrowings,6,8,10,9,10
Other Liabilities,10,12,13,18,21
Total Liabilities,19,28,42,48,55
Fixed Assets,5,11,11,14,14
CWIP,5,0,0,0,0
Investments,0,0,0,0,0
Other Assets,9,17,31,35,40
Total Assets,19,28,42,48,55
