,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,41.0,39,39,36
Inventory Days,28.0,51,44,25
Days Payable,74.0,69,51,44
Cash Conversion Cycle,-4.0,21,32,18
Working Capital Days,-1.0,20,36,21
ROCE %,,28,22,22
