,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,5,-1,0,7
Cash from Investing Activity,-9,-1,-1,-4
Cash from Financing Activity,5,3,8,-3
Net Cash Flow,0,1,8,0
