,2023-06-01,2023-09-01
Sales,25.94,27.04
Expenses,23.42,24.05
Operating Profit,2.52,2.99
OPM %,9.71,11.06
Other Income,0.29,0.27
Interest,0.22,0.37
Depreciation,0.13,0.17
Profit before tax,2.46,2.72
Tax %,26.02,25.0
Net Profit,1.82,2.05
EPS in Rs,2.06,2.32
