,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,16.22,27.12,55.51,80.17
Expenses,14.86,24.21,46.71,69.29
Operating Profit,1.36,2.91,8.8,10.88
OPM %,8.38,10.73,15.85,13.57
Other Income,0.0,0.22,0.36,0.63
Interest,0.51,0.57,0.82,1.01
Depreciation,0.43,0.44,0.39,0.45
Profit before tax,0.42,2.12,7.95,10.05
Tax %,19.05,25.47,25.66,26.27
Net Profit,0.33,1.58,5.9,7.41
EPS in Rs,330.0,1564.36,5841.58,8.39
