,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,1.58,11.71,11.38,11.06
Inventory Days,108.28,104.99,112.31,104.04
Days Payable,35.28,34.34,23.41,37.01
Cash Conversion Cycle,74.58,82.37,100.28,78.09
Working Capital Days,62.11,67.02,80.88,69.02
ROCE %,,46.86,80.72,58.06
