,2023-03-01,2023-06-01,2023-09-01
Promoters,73.65,73.65,73.65
FIIs,3.72,0.77,0.0
DIIs,3.71,1.3,0.0
Public,18.93,24.27,26.35
No. of Shareholders,535.0,699.0,748.0
