,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,1,1,1,5,8,8,8,8,8,8,8
Reserves,6,8,12,17,24,42,55,49,44,43,40,44
Borrowings,4,2,5,6,17,7,6,13,18,36,81,86
Other Liabilities,2,6,5,4,9,4,7,4,4,31,65,91
Total Liabilities,13,17,23,29,55,60,75,73,73,117,193,229
Fixed Assets,3,4,4,5,16,30,32,33,30,54,79,77
CWIP,0,0,0,0,0,0,0,0,7,7,0,0
Investments,0,0,0,1,1,1,1,0,0,1,0,0
Other Assets,10,13,19,23,39,29,42,40,35,55,114,152
Total Assets,13,17,23,29,55,60,75,73,73,117,193,229
