,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,4,8,4,5,7,6,14,-10,7,-2,-21
Cash from Investing Activity,-2,-2,0,-1,-13,-19,-3,-8,-8,-7,-21
Cash from Financing Activity,2,-2,0,-2,12,0,-2,4,4,14,38
Net Cash Flow,5,5,4,2,5,-13,10,-13,4,5,-4
