,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,30.0,23.0,18.0,12.0,19.0,16.0,51.0,73.0,101.0,108.0
Expenses,22.0,19.0,20.0,15.0,20.0,18.0,53.0,79.0,84.0,94.0
Operating Profit,8.0,5.0,-2.0,-2.0,-1.0,-2.0,-2.0,-5.0,17.0,14.0
OPM %,26.0,20.0,-10.0,-19.0,-4.0,-12.0,-3.0,-7.0,16.0,13.0
Other Income,1.0,0.0,2.0,0.0,3.0,0.0,4.0,2.0,3.0,1.0
Interest,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0
Depreciation,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0
Profit before tax,7.0,2.0,-2.0,-4.0,-0.0,-4.0,-1.0,-7.0,15.0,8.0
Tax %,7.0,-10.0,0.0,-11.0,-24.0,-7.0,-46.0,-7.0,-1.0,4.0
Net Profit,6.0,2.0,-2.0,-5.0,-1.0,-4.0,-1.0,-8.0,15.0,7.0
EPS in Rs,8.64,3.24,-2.84,-6.41,-0.75,-5.01,-1.05,-5.69,11.94,6.36
