,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,361.0,501,496,234,200,132,66,69,87
Inventory Days,15.0,30,64,76,104,68,71,109,51
Days Payable,242.0,377,313,26,18,46,8,22,14
Cash Conversion Cycle,134.0,154,247,284,286,154,130,155,124
Working Capital Days,142.0,199,268,381,306,168,187,196,178
ROCE %,,6,7,5,5,16,29,37,35
