,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,161.0,147.0,1040.0,3335.0,28.0,30.0,9.0,2.0
Expenses,161.0,131.0,985.0,3182.0,178.0,31.0,47.0,4.0
Operating Profit,-0.0,16.0,55.0,152.0,-149.0,-1.0,-39.0,-1.0
OPM %,-0.0,11.0,5.0,5.0,-526.0,-3.0,-430.0,-47.0
Other Income,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Interest,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profit before tax,3.0,16.0,55.0,152.0,-150.0,0.0,-38.0,-1.0
Tax %,32.0,30.0,28.0,25.0,24.0,48.0,0.0,1.0
Net Profit,2.0,11.0,40.0,113.0,-113.0,0.0,-38.0,-1.0
EPS in Rs,9.18,49.68,16.11,45.93,-45.77,0.06,-15.4,-0.54
