,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,492.0,772.0,1407.0,2040.0,2598.0,2633
Expenses,459.0,717.0,1319.0,1927.0,2425.0,2436
Operating Profit,33.0,55.0,88.0,113.0,173.0,197
OPM %,7.0,7.0,6.0,6.0,7.0,8
Other Income,1.0,1.0,3.0,4.0,5.0,5
Interest,8.0,11.0,19.0,20.0,36.0,43
Depreciation,7.0,11.0,19.0,25.0,37.0,42
Profit before tax,18.0,34.0,52.0,71.0,104.0,117
Tax %,35.0,35.0,29.0,38.0,32.0,
Net Profit,12.0,22.0,37.0,45.0,71.0,85
EPS in Rs,1.76,2.07,3.52,3.96,6.31,7.56
