,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,0.79,1.58,2.22,2.22,4.0
Reserves,0.51,0.63,1.35,0.67,1.44,1.79,0.24
Borrowings,0.11,0.26,0.15,0.05,0.12,0.08,0.2
Other Liabilities,2.8200000000000003,3.26,1.61,1.64,0.24,1.06,1.4
Total Liabilities,3.45,4.16,3.9,3.94,4.02,5.15,5.84
Fixed Assets,0.29,0.6000000000000001,0.81,0.72,0.88,0.8300000000000001,0.74
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.03
Other Assets,3.16,3.56,3.09,3.22,3.14,4.32,5.07
Total Assets,3.45,4.16,3.9,3.94,4.02,5.15,5.84
