,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,4.58,6.78,6.13,7.73,8.52,9.85,10.27
Expenses,4.35,6.49,5.91,7.37,8.2,9.15,9.75
Operating Profit,0.23,0.29,0.22,0.36,0.32,0.7,0.52
OPM %,5.02,4.28,3.59,4.66,3.76,7.11,5.06
Other Income,0.02,0.03,0.06,0.0,0.03,0.0,0.0
Interest,0.01,0.0,0.0,0.01,0.01,0.0,0.0
Depreciation,0.15,0.26,0.16,0.22,0.21,0.24,0.22
Profit before tax,0.09,0.06,0.12,0.13,0.13,0.46,0.3
Tax %,11.11,50.0,16.67,30.77,23.08,26.09,26.67
Net Profit,0.07,0.04,0.1,0.08,0.1,0.34,0.23
EPS in Rs,0.5,0.14,0.25,0.2,0.25,0.85,0.58
