,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,18.0,35,27,
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,18.0,35,27,
Working Capital Days,-7.0,4,10,
ROCE %,,79,70,
