,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,214.0,302.0,371.0,389.0,467.0,513.0,680.0,601.0,712.0
Expenses,193.0,265.0,346.0,356.0,420.0,465.0,622.0,564.0,663.0
Operating Profit,20.0,37.0,25.0,34.0,47.0,48.0,57.0,37.0,49.0
OPM %,9.0,12.0,7.0,9.0,10.0,9.0,8.0,6.0,7.0
Other Income,2.0,2.0,8.0,2.0,8.0,12.0,23.0,22.0,8.0
Interest,1.0,2.0,3.0,5.0,6.0,6.0,4.0,8.0,8.0
Depreciation,3.0,7.0,7.0,7.0,7.0,8.0,9.0,10.0,12.0
Profit before tax,18.0,30.0,24.0,24.0,42.0,45.0,68.0,41.0,37.0
Tax %,37.0,32.0,30.0,28.0,31.0,24.0,37.0,31.0,17.0
Net Profit,13.0,20.0,17.0,17.0,29.0,34.0,43.0,28.0,31.0
EPS in Rs,102.49,1.43,1.19,1.1,1.6,1.88,2.39,1.61,1.6
