,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,862.0,886.0,1020.0,2048.0,2505
Expenses,727.0,784.0,923.0,1856.0,2314
Operating Profit,135.0,102.0,97.0,192.0,191
OPM %,16.0,11.0,9.0,9.0,8
Other Income,13.0,18.0,12.0,44.0,65
Interest,15.0,10.0,9.0,26.0,26
Depreciation,19.0,23.0,19.0,31.0,39
Profit before tax,113.0,87.0,81.0,179.0,191
Tax %,19.0,24.0,33.0,31.0,
Net Profit,92.0,69.0,57.0,123.0,136
EPS in Rs,1281.97,916.98,4.04,6.75,7.48
