,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5,5,138,177,177.0
Reserves,418,595,434,1364,1392.0
Preference Capital,5,0,0,0,
Borrowings,120,103,218,375,466.0
Other Liabilities,243,258,364,626,873.0
Total Liabilities,786,960,1154,2541,2908.0
Fixed Assets,296,292,378,532,887.0
CWIP,1,0,41,25,25.0
Investments,30,132,41,84,47.0
Other Assets,459,536,694,1899,1948.0
Total Assets,786,960,1154,2541,2908.0
