,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,503.0,613.0,581.0,289.0,554.0,903.0
Expenses,410.0,495.0,488.0,267.0,461.0,732.0
Operating Profit,93.0,117.0,93.0,23.0,93.0,171.0
OPM %,18.0,19.0,16.0,8.0,17.0,19.0
Other Income,7.0,5.0,5.0,12.0,11.0,14.0
Interest,17.0,18.0,15.0,11.0,9.0,9.0
Depreciation,15.0,18.0,23.0,22.0,23.0,24.0
Profit before tax,67.0,86.0,60.0,2.0,72.0,151.0
Tax %,21.0,24.0,36.0,72.0,25.0,26.0
Net Profit,53.0,65.0,38.0,0.0,54.0,112.0
EPS in Rs,2444.6,27.84,16.33,0.21,23.08,11.95
