,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,23,23,23,23,47,47
Reserves,158,199,236,236,290,379,442
Borrowings,169,196,168,122,118,97,124
Other Liabilities,84,111,113,85,107,111,120
Total Liabilities,412,529,539,467,539,634,734
Fixed Assets,144,182,195,178,181,200,230
CWIP,8,3,0,0,0,2,7
Investments,0,0,0,16,0,4,4
Other Assets,260,343,344,273,358,429,494
Total Assets,412,529,539,467,539,634,734
