,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,30,37,37,39,39,39,39,39,39,39,39
Reserves,80,117,126,19,64,79,96,96,94,93,96
Borrowings,92,148,159,79,103,122,119,145,108,66,63
Other Liabilities,28,50,57,104,71,76,90,84,178,620,683
Total Liabilities,229,352,379,241,277,316,345,364,419,818,881
Fixed Assets,32,33,33,35,34,32,31,38,36,34,34
CWIP,0,0,0,22,0,0,0,0,0,0,0
Investments,7,7,10,10,6,5,6,7,71,78,84
Other Assets,190,312,336,174,236,280,308,318,311,706,763
Total Assets,229,352,379,241,277,316,345,364,419,818,881
