,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-2,-76,-11,34,3,-18,29,18,64,58
Cash from Investing Activity,1,-13,8,-22,-12,17,-9,-16,-26,-3
Cash from Financing Activity,3,88,2,-10,8,1,-19,10,-51,-54
Net Cash Flow,2,0,-1,2,-1,-1,0,12,-13,1
