,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,7.47,6.85,7.02,6.7,7.8,7.73,8.32,7.83,6.62,6.51,5.25,6.07,5.31
Expenses,6.57,6.04,5.88,5.88,6.92,6.99,7.31,7.13,5.66,6.19,4.17,5.78,4.5
Operating Profit,0.9,0.81,1.14,0.82,0.88,0.74,1.01,0.7,0.96,0.32,1.08,0.29,0.81
OPM %,12.05,11.82,16.24,12.24,11.28,9.57,12.14,8.94,14.5,4.92,20.57,4.78,15.25
Other Income,0.02,0.01,0.02,0.02,0.01,0.01,0.05,0.0,0.01,0.44,-0.42,0.0,0.0
Interest,0.59,0.48,0.61,0.52,0.52,0.41,0.68,0.55,0.47,0.47,0.37,0.51,0.51
Depreciation,0.3,0.31,0.31,0.31,0.29,0.35,0.31,0.28,0.29,0.27,0.26,0.25,0.25
Profit before tax,0.03,0.03,0.24,0.01,0.08,-0.01,0.07,-0.13,0.21,0.02,0.03,-0.47,0.05
Tax %,0.0,0.0,12.5,-100.0,50.0,100.0,14.29,-23.08,0.0,0.0,166.67,0.0,40.0
Net Profit,0.04,0.04,0.2,0.03,0.03,0.01,0.07,-0.16,0.21,0.03,-0.02,-0.47,0.04
EPS in Rs,0.08,0.08,0.41,0.06,0.06,0.02,0.14,-0.33,0.43,0.06,-0.04,-0.96,0.08
