,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.2,6.0,6.0,12.0,12.0,12.0,12.0,12.0
Reserves,4.94,22.37,26.27,17.17,17.41,18.43,19.44,23.31
Borrowings,18.12,13.27,23.91,43.1,28.59,24.1,35.35,34.21
Other Liabilities,36.3,49.03,50.54,37.27,36.56,42.38,35.34,26.34
Total Liabilities,63.56,90.67,106.72,109.54,94.56,96.91,102.13,95.86
Fixed Assets,3.26,3.3,4.13,24.63,4.91,3.89,11.75,11.33
CWIP,0.0,0.01,0.18,6.3,6.3,6.3,0.0,0.0
Investments,0.0,0.0,0.03,0.66,0.0,0.01,0.0,0.0
Other Assets,60.3,87.36,102.38,77.95,83.35,86.71,90.38,84.53
Total Assets,63.56,90.67,106.72,109.54,94.56,96.91,102.13,95.86
