,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,78.52,102.45,93.15,71.23,77.58,85.91,111.8,85.77
Expenses,71.68,95.36,86.29,69.89,69.57,81.36,106.07,81.31
Operating Profit,6.84,7.09,6.86,1.34,8.01,4.55,5.73,4.46
OPM %,8.71,6.92,7.36,1.88,10.32,5.3,5.13,5.20
Other Income,0.52,0.53,0.89,0.48,-1.61,1.2,0.41,1.84
Interest,1.86,1.23,2.09,2.57,3.53,3.38,4.06,4.24
Depreciation,0.16,0.15,0.2,1.14,1.08,0.7,0.79,0.86
Profit before tax,5.34,6.24,5.46,-1.89,1.79,1.67,1.29,1.20
Tax %,17.23,21.96,32.42,-53.97,79.89,52.69,35.66,
Net Profit,4.42,4.86,3.72,-2.93,0.36,0.8,0.82,0.84
EPS in Rs,5.26,4.05,3.1,-2.44,0.3,0.67,0.68,0.69
