,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,35.32,36.83,39.17,37.39,40.9,39.26,42.51,42.98,24.11,26.97,32.37,28.85
Expenses,24.46,27.08,30.54,28.3,29.16,24.62,28.39,28.71,8.46,13.33,19.73,16.37
Operating Profit,10.86,9.75,8.63,9.09,11.74,14.64,14.12,14.27,15.65,13.64,12.64,12.48
OPM %,30.75,26.47,22.03,24.31,28.7,37.29,33.22,33.2,64.91,50.57,39.05,43.26
Other Income,0.11,0.92,0.18,0.88,1.51,0.38,2.98,3.38,1.03,0.13,0.71,0.64
Interest,7.41,7.15,6.11,7.51,10.68,10.48,10.08,9.69,10.69,8.66,6.94,6.90
Depreciation,2.38,2.38,1.46,0.74,3.57,3.57,3.53,3.54,3.53,3.96,3.62,3.46
Profit before tax,1.18,1.14,1.24,1.72,-1.0,0.97,3.49,4.42,2.46,1.15,2.79,2.76
Tax %,33.9,43.86,44.35,54.07,19.0,-84.54,12.61,30.09,67.07,-66.96,22.94,
Net Profit,0.77,0.64,0.69,0.79,-0.81,1.8,3.05,3.08,0.81,1.92,2.16,1.98
EPS in Rs,0.46,0.38,0.41,0.47,-0.48,1.07,1.82,1.83,0.48,1.14,1.29,1.18
