,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,12.86,15.93,21.75,33.73,44.74
Expenses,10.23,13.3,18.32,28.3,37.04
Operating Profit,2.63,2.63,3.43,5.43,7.70
OPM %,20.45,16.51,15.77,16.1,17.21
Other Income,0.05,0.09,0.16,0.35,0.55
Interest,0.01,0.03,0.02,0.05,0.06
Depreciation,0.0,0.01,0.01,0.01,0.00
Profit before tax,2.67,2.68,3.56,5.72,8.19
Tax %,20.22,22.76,28.65,25.7,
Net Profit,2.14,2.08,2.55,4.26,6.09
EPS in Rs,1597.01,1552.24,1902.99,5.71,6.85
