,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,-0.31,0.02,0.00,0.00,0.00,0.0
Expenses,7.17,5.46,4.44,5.17,7.27,6.36
Operating Profit,-7.48,-5.44,-4.44,-5.17,-7.27,-6.36
OPM %,,-27200.0,,,,
Other Income,0.38,0.63,0.24,0.13,1.18,0.36
Interest,0.58,0.95,2.14,2.87,2.85,2.45
Depreciation,0.05,0.04,0.13,0.14,0.10,0.08
Profit before tax,-7.73,-5.8,-6.47,-8.05,-9.04,-8.53
Tax %,0.00,0.0,-0.62,-0.50,0.00,
Net Profit,-7.73,-5.8,-6.51,-8.10,-9.04,-8.56
EPS in Rs,-1.42,-1.13,-1.26,-1.57,-1.76,-1.47
