,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,42.86,50.69,50.69,50.69,51.3,69.2
Reserves,239.95,230.83,224.6,216.78,208.02,209.99
Borrowings,0.14,10.04,14.49,22.03,22.49,7.29
Other Liabilities,17.82,14.89,14.12,18.28,21.54,21.29
Total Liabilities,300.77,306.45,303.9,307.78,303.35,307.77
Fixed Assets,260.62,268.46,268.34,268.22,264.2,265.29
CWIP,26.53,26.79,26.79,32.47,32.55,32.55
Investments,0.0,0.01,0.01,0.76,0.6000000000000001,0.0
Other Assets,13.62,11.19,8.76,6.33,6.0,9.93
Total Assets,300.77,306.45,303.9,307.78,303.35,307.77
